OrderID,Date,CustomerID,Region,ProductName,Category,Quantity,UnitPrice,TotalAmount,OrderStatus,SalesAgent
100001,13-04-2025,C11400,East,Mobile,Electronics,3,20626,61878,Completed,Ravi
100002,29-06-2025,C07926,East,Table,Furniture,1,5036,5036,Completed,Neha
100003,03-04-2025,C04009,South,Headphones,Accessories,3,1608,4824,Cancelled,Raj
100004,15-01-2025,C01817,West,Table,Furniture,2,5930,11860,Completed,Ravi
100005,17-04-2025,C07540,South,Table,Furniture,5,8846,44230,Completed,Raj
100006,13-03-2025,C14570,West,Laptop,Electronics,2,48913,97826,Completed,Neha
100007,21-01-2025,C15475,South,Chair,Furniture,2,1109,2218,Completed,Ravi
100008,13-04-2025,C16573,South,Table,Furniture,5,8431,42155,Completed,Ravi
100009,02-05-2025,C17825,North,Table,Furniture,5,6609,33045,Completed,Neha
100010,16-03-2025,C01221,South,Table,Furniture,4,6522,26088,Completed,Sneha
100011,29-03-2025,C18982,West,Laptop,Electronics,4,50382,201528,Completed,Amit
100012,27-04-2025,C13948,West,Headphones,Accessories,5,2805,14025,Completed,Raj
100013,10-04-2025,C11061,North,Table,Furniture,4,6740,26960,Cancelled,Neha
100014,14-04-2025,C10254,North,Mobile,Electronics,3,20734,62202,Completed,Raj
100015,01-06-2025,C02908,East,Laptop,Electronics,2,50384,100768,Cancelled,Raj
100016,11-05-2025,C15605,North,Mobile,Electronics,2,20431,40862,Returned,Raj
100017,30-05-2025,C01716,South,Headphones,Accessories,1,587,587,Completed,Neha
100018,22-02-2025,C15662,North,Mobile,Electronics,5,19294,96470,Completed,Amit
100019,02-01-2025,C11728,North,Chair,Furniture,5,1831,9155,Completed,Raj
100020,29-03-2025,C14249,East,Mobile,Electronics,1,19514,19514,Completed,Ravi
100021,07-06-2025,C07810,East,Mobile,Electronics,2,20700,41400,Completed,Raj
100022,07-02-2025,C06111,West,Mobile,Electronics,2,18586,37172,Completed,Amit
100023,10-05-2025,C16996,South,Laptop,Electronics,1,48197,48197,Completed,Amit
100024,21-01-2025,C10702,West,Headphones,Accessories,3,2180,6540,Completed,Amit
100025,10-06-2025,C00284,West,Chair,Furniture,1,2145,2145,Completed,Ravi
100026,27-02-2025,C02671,East,Headphones,Accessories,3,1349,4047,Completed,Neha
100027,22-01-2025,C15136,East,Mobile,Electronics,1,21452,21452,Completed,Amit
100028,30-03-2025,C17996,North,Mobile,Electronics,1,19526,19526,Completed,Raj
100029,18-02-2025,C12822,North,Mobile,Electronics,5,18885,94425,Returned,Amit
100030,28-02-2025,C08874,South,Table,Furniture,4,7780,31120,Completed,Amit
100031,19-06-2025,C11632,East,Headphones,Accessories,2,736,1472,Completed,Amit
100032,15-01-2025,C07165,North,Chair,Furniture,5,2754,13770,Completed,Sneha
100033,24-06-2025,C15517,East,Mobile,Electronics,5,20117,100585,Completed,Neha
100034,20-02-2025,C07631,West,Chair,Furniture,2,2821,5642,Returned,Raj
100035,18-04-2025,C13892,West,Laptop,Electronics,2,51954,103908,Completed,Neha
100036,24-02-2025,C04257,West,Table,Furniture,4,5372,21488,Completed,Neha
100037,05-03-2025,C15241,South,Headphones,Accessories,1,1580,1580,Completed,Amit
100038,11-05-2025,C17907,West,Headphones,Accessories,2,2806,5612,Completed,Sneha
